pl-174
Ryanair	Ryanair	ORG	244-14
Poznania	Poznań	LOC	210-20
Hiszpanii	Hiszpania	LOC	243-3
Belgii	Belgia	LOC	236-26
Portugalii	Portugalia	LOC	210-16
polskich	polski	LOC	xxx
Barcelona	Barcelona	LOC	236-0
Wrocław	Wrocław	LOC	259-7
FR9172	FR9172	PRO	254-13
FR1057	FR1057	PRO	254-15
Bruksela	Bruksela	LOC	236-20
Warszawa - Modlin	Warszawa - Modlin	LOC	259-12
FR1058	FR1058	PRO	254-16
Warszawa -	Warszawa -	LOC	259-12
Modlin	Modlin	LOC	209-19
FR	FR	PRO	254-17
Hiszpania	Hiszpania	LOC	243-3
Alicante	Alicante	LOC	218-15
FR 1001	FR 1001	PRO	254-18
Warszawa	Warszawa	LOC	259-12
Gdańsk	Gdańsk	LOC	226-4
FR1425	FR1425	PRO	254-20
Walencja Kraków	Walencja Kraków	LOC	259-13
FR2229	FR2229	PRO	254-22
Kraków	Kraków	LOC	223-10
Walencja	Walencja	LOC	259-13
FR6728	FR6728	PRO	254-24
FR6729	FR6729	PRO	254-23
Ateny	Atena	LOC	218-22
Girona	Giron	LOC	236-81
Billund - Legoland	Billund - Legoland	LOC	236-25
Castellón	Castellón	LOC	255-65
Dublin	Dublin	LOC	229-1
Edynburg	Edynburg	LOC	206-59
Eljat	Eljat	LOC	206-56
Kijów	Kij	LOC	223-26
Korfu	Korf	LOC	223-30
Liverpool	Liverpool	LOC	248-74
London Stansted	London Stansted	LOC	248-70
Madryt	Madryt	LOC	209-14
Mediolan Malta-Luqa	Mediolan Malta-luq	LOC	209-20
Oslo	Oslo	LOC	240-19
Tel Awiw	Tel Awiw	LOC	225-66
