bg_3044
ColosseoRosso	ColosseoRosso	EVT	EVT-ColloseoRosso
Азия Биби	Азия Биби	PER	PER-Asia-Bibi
Ашик Масих	Ашик Масих	PER	PER-Ashiq-Masih
Ашик	Ашик	PER	PER-Ashiq-Masih
Боко Харам	Боко Харам	ORG	ORG-Boko-Haram
Върховния съд на Пакистан	Върховен съд на Пакистан	ORG	ORG-Supreme-Court-of-Pakistan
Ейшам	Ейшам	PER	PER-Esham-Masih
Ешам Асик	Ешам Асик	PER	PER-Esham-Masih
Ешам Масих	Ешам Масих	PER	PER-Esham-Masih
Италия	Италия	LOC	GPE-Italy
Майдугури	Майдугури	LOC	LOC-Maiduguri
Помощ за страдащата Църква	Помощ за страдащата Църква	ORG	ORG-ACN-Aid-to-the-Church-in-Need
Ребека Битрус	Ребека Битрус	PER	PER-Rebecca-Bitrus
Ребека	Ребека	PER	PER-Rebecca-Bitrus
Рим	Рим	LOC	GPE-Rome
Светия Отец	Свят отец	PER	PER-Pope-Francis
Светия отец	Свят отец	PER	PER-Pope-Francis
Франциск	Франциск	PER	PER-Pope-Francis
