,id,NEcount,PER,ORG,LOC,EVT,PRO,UniqueCLIDs,dataset,lang,fpath
0,bg-1146,6,0,2,3,0,1,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1146.out
1,bg-1150,10,5,1,3,0,1,8,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1150.out
2,bg-1099,7,2,1,4,0,0,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1099.out
3,bg-1123,4,1,1,2,0,0,4,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1123.out
4,bg-1319,9,0,7,1,0,1,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1319.out
5,bg-1316,29,5,13,11,0,0,26,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1316.out
6,bg-707,12,4,2,2,0,4,11,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_707.out
7,bg-1124,5,1,1,3,0,0,5,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1124.out
8,bg-1071,25,6,7,10,0,2,21,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1071.out
9,bg-1024,4,1,1,2,0,0,4,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1024.out
10,bg-1322,4,0,4,0,0,0,3,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1322.out
11,bg-2008,5,0,2,3,0,0,4,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_2008.out
12,bg-1299,10,3,4,2,0,1,7,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1299.out
13,bg-2011,13,4,3,5,0,1,13,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_2011.out
14,bg-1064,12,2,2,6,0,2,10,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1064.out
15,bg-1314,8,0,1,7,0,0,8,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1314.out
16,bg-622,16,0,15,1,0,0,8,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_622.out
17,bg-638,11,0,3,7,0,1,10,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_638.out
18,bg-1036,6,1,2,2,0,1,5,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1036.out
19,bg-2009,13,8,1,3,0,1,12,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_2009.out
20,bg-1091,25,8,9,7,0,1,20,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1091.out
21,bg-700,9,0,2,5,0,2,9,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_700.out
22,bg-1259,6,1,2,3,0,0,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1259.out
23,bg-1118,7,1,2,4,0,0,7,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1118.out
