id,lang,created,url,title,contentLength,numWords,dataset
bg-1029,bg,2018-02-04,http://novini.dir.bg/news.php?id=26847301,"Самолет не успя да кацне в София заради силния вятър, отиде чак до Букурещ",233,34,test
bg-1143,bg,2018-06-11,http://plovdivnews.net/obshtestvo/item/64666-okolo-100-balgari-blokirani-na-letishte-v-berlin-sled-otmenen-polet-na-raianear,Около 100 българи - блокирани на летище в Берлин след,1273,223,test
bg-1128,bg,2018-06-20,https://www.marica.bg/tim-i-moud-ot-bryuksel-pri-vas-qvno-vinagi-e-veselo-Article-136061.html,Тим и Моуд от Брюксел: При вас явно винаги е весело,2583,428,test
bg-2004,bg,2019-01-29,https://www.mediapool.bg/raianear-priklyuchi-pridobivaneto-na-laudamoushan-news289225.html,Райънеър приключи придобиването на Лаудамоушън,1331,199,test
bg-1302,bg,2018-09-28,https://www.actualno.com/europe/ryanair-otmenja-250-poleta-zaradi-stachki-na-kabinnija-personal-news_696973.html,Ryanair отменя 250 полета заради стачки на кабинния персонал,668,96,test
bg-1040,bg,2018-02-04,https://trud.bg/%d0%bf%d1%80%d0%b5%d0%bd%d0%b0%d1%81%d0%be%d1%87%d0%b8%d1%85%d0%b0-%d0%bf%d0%be%d0%bb%d0%b5%d1%82-%d0%be%d1%82-%d0%bb%d0%be%d0%bd%d0%b4%d0%be%d0%bd-%d0%b4%d0%be-%d1%81%d0%be%d1%84%d0%b8%d1%8f-%d0%ba/,Пренасочиха полет от Лондон до София към Букурещ,451,67,test
bg-1030,bg,2018-02-04,http://www.dnesplus.bg/News.aspx?n=827697,Заради силния вятър в събота: Самолет не можа да кацне на Летище София,737,114,test
bg-1290,bg,2018-08-24,https://www.novinite.bg/articles/163460/Rachniyat-bagaj-v-Rajanear-veche-shte-se-plashta,"Ръчният багаж в ""Райънеър"" вече ще се плаща",1112,179,test
bg-1078,bg,2018-02-27,https://www.dnevnik.bg/bulgaria/2018/02/27/3136720_bulgari_sa_blokirani_v_rumuniia_zaradi_otklonen_polet/?ref=rss,Българи са блокирани в Румъния заради отклонен полет (допълнена),2588,424,test
bg-1264,bg,2018-07-14,http://novini.dir.bg/news.php?id=27209639,33 пътници в самолет пострадаха след спадане на налягането,774,134,test
bg-1322,bg,2018-11-02,https://petel.bg/Vlizat-v-sila-novite-pravila-za-bagazh-na----Rayanear---__289516,Влизат в сила новите правила за багаж на „Райънеър“,1503,259,test
bg-1113,bg,2018-05-08,http://www.pan.bg/view_article-61-430063-bylgarin-ot-rim-s-nashi-sredstva-uspyahme-da-si-kupim-bileti.html,Българин от Рим: С наши средства успяхме да си купим билети,1466,239,test
bg-2007,bg,2010-04-08,https://www.mediapool.bg/niskotarifnata-raianer-slaga-taksa-na-toaletnite-v-samoletite-si-news163895.html,Нискотарифната ″Райънер″ слага такса на тоалетните в самолетите си,1499,227,test
bg-1110,bg,2018-06-19,https://www.24chasa.bg/novini/article/6920286,"Блокирани пътници на летището в Пловдив, след като гръм ударил самолета им Близо 100 души, пътуващи за Брюксел, попаднаха в понеделник вечер в капан на летище ""Пловдив"" и останаха гладни и жадни в продължение на 8 часа, съобщава ""Марица"".",844,138,test
bg-1144,bg,2018-06-19,http://plovdivnews.net/obshtestvo/item/65030-malniya-udari-samolet-na-letishte-plovdiv-100-dushi-v-kapan,"Мълния удари самолет на летище Пловдив, 100 души в капан",763,127,test
bg-1019,bg,2018-01-04,http://novini.dir.bg/news.php?id=26748757,Кацнал на едно крило (СНИМКИ),525,86,test
bg-1298,bg,2018-09-12,https://www.marica.bg/rajyneyr-otmeni-150-poleta-Article-154272.html,"""Райънеър"" отмени 150 полета",254,37,test
bg-2003,bg,2019-05-05,https://www.segabg.com/node/52786,"Италия глоби ""Уизеър"" и ""Райънеър"" заради новите правила за багаж",1092,165,test
bg-1081,bg,2018-02-27,http://bnr.bg/post/100938921/pravitelstveniat-earbas-shte-transportira-blokiranite-na-letishteto-v-timishoara-balgari,"Правителственият ""Еърбъс"" ще транспортира блокираните на летището в Тимишоара българи",3328,521,test
bg-1039,bg,2018-02-01,https://trud.bg/%d0%b0%d0%b2%d1%82%d0%be%d0%b1%d1%83%d1%81-%d1%81%d0%be%d0%b2%d0%b0%d0%bb%d0%ba%d0%b0-%d1%81-%d0%bf%d1%8a%d1%82%d0%bd%d0%b8%d1%86%d0%b8-%d1%81%d0%b5-%d0%b1%d0%bb%d1%8a%d1%81%d0%bd%d0%b0-%d1%81-%d0%b2/,"Автобус совалка с пътници се блъсна с влекач на летището във Франкфурт, 14 ранени",639,99,test
bg-1079,bg,2018-02-27,http://dnes.dir.bg/news.php?id=26922321,Консулът в Букурещ препоръча да не се пътува към...,2466,404,test
bg-1314,bg,2018-10-04,http://plovdivmedia.com/134221.html,Спират полетите до Бергамо и Шарлероа,363,59,test
bg-1103,bg,2018-06-11,http://news.bnt.bg/bg/a/907107-polet,200 пътници са блокирани на летище в Берлин заради отменен полет за София,763,134,test
bg-708,bg,2018-09-29,https://www.24chasa.bg/novini/article/7077464,"Мъж, гонил самолет по пистата, заголи задните си части, след като излезе от съда",843,138,test
bg-1085,bg,2018-02-27,http://www.dnesplus.bg/News.aspx?n=830415,Правителственият Ербъс прибира бедстващите българи в Тимишоара,1742,269,test
bg-1118,bg,2018-01-04,https://fakti.bg/world/278274-kacnal-na-edno-krilo-snimki,Кацнал на едно крило (СНИМКИ),865,138,test
bg-1092,bg,2018-02-01,http://www.klassa.bg/News/Read/article/284596_%E2%80%9E%D0%A0%D0%B0%D0%B9%D1%8A%D0%BD%D0%B5%D1%8A%D1%80%E2%80%9C+%D1%89%D0%B5+%D0%B8%D0%B7%D0%BF%D0%BB%D0%B0%D1%89%D0%B0+%D0%BA%D0%BE%D0%BC%D0%BF%D0%B5%D0%BD%D1%81%D0%B0%D1%86%D0%B8%D0%B8+%D0%B4%D0%BE+10+%D0%B4%D0%BD%D0%B8,„Райънеър“ ще изплаща компенсации до 10 дни,1048,163,test
bg-1024,bg,2018-01-03,http://btvnovinite.bg/article/lifestyle/iznerven-pasazher-na-kacnal-samolet-izleze-prez-avarijnija-izhod.html,Изнервен пасажер на кацнал самолет излезе през аварийния изход,492,80,test
bg-1104,bg,2018-06-11,https://www.monitor.bg:443/bg/a/view/200-pytnici-blokirani-na-letishte-v-berlin-102260,200 пътници за София блокирани на летище в Берлин,2588,428,test
bg-2005,bg,2019-03-21,https://www.mediapool.bg/raianear-kupuva-aviokompaniyata-na-niki-lauda-za-po-malko-ot-50-mln-evro-news276996.html,"""Райънеър"" купува авиокомпанията на Ники Лауда за по-малко от 50 млн. евро",2401,355,test
bg-699,bg,2018-08-29,https://petel.bg/Patnitsi-na-Rayanear-chakat-s-chasove-na-letishheto-v-Sofiya__280405,Пътници на Райънеър чакат с часове на летището в София,787,128,test
bg-1095,bg,2018-05-27,http://news.bnt.bg/bg/a/nad-64-000-mlnii-sa-padnali-tazi-noshch-vv-velikobritaniya-pri-burya,Над 64 000 мълнии са паднали във Великобритания при буря,512,79,test
