pl-911
Nord Stream 2	Nord Stream 2	PRO	151-9
UOKiK	UOKiK	ORG	119-7
Międzynarodowego Forum Ekonomicznego	międzynarodowy forum ekonomiczny	EVT	123-105
Petersburgu	Petersburg	LOC	124-99
Wintershall	Wintershall	ORG	174-20
Mario Mehren	Mario Mehren	PER	123-2
TASS	TASS	ORG	139-27
Urzędu Ochrony Konkurencji i Konsumenta	urząd ochrona konkurencja i Konsument	ORG	119-4
Gazprom	Gazprom	ORG	140-4
Europie Środkowo - Wschodniej	Europa środkowy - wschodni	LOC	118-21
Mehren	Mehren	PER	123-3
polskich	polski	LOC	xxx
Europy Zachodniej	Europa Zachodni	LOC	118-20
BASF / Wintershall	BASF / Wintershall	ORG	149-38
E.on / Unper	E.on / Unper	ORG	118-49
OMV	OMV	ORG	153-10
Shell	Shell	ORG	134-1
ENGIE	ENGAE	ORG	118-22
Wojciech Jakóbik	Wojciech Jakóbik	PER	174-10
