pl-478
Nord Stream 2	Nord Stream 2	PRO	151-9
Intesa Sanpaolo	Intesa Sanpaolo	ORG	138-8
Antonio Fallico	Antonio Fallico	PER	131-33
Reutersem	Reuters	ORG	158-7
Rosji	Rosja	LOC	158-19
Niemiec	Niemcy	LOC	151-49
Bank	bank	ORG	xxx
Amerykanie	Amerykanin	PER	131-11
USA	USA	LOC	119-13
Fallico	Fallico	PER	168-21
Intesa	Intesa	ORG	138-9
Komisji Europejskiej	komisja europejski	ORG	137-19
Komisja	komisja	ORG	137-16
Unii Europejskiej	unia europejski	ORG	119-24
Reuters	Reuters	ORG	158-7
Wojciech Jakóbik	Wojciech Jakóbik	PER	174-10
