pl-949
Nord Stream 2	Nord Stream 2	PRO	151-9
Kremla	Kreml	LOC	137-2
Dmitrij Pieskow	Dmitrij Pieskow	PER	143-14
Merkel	Merkel	PER	123-45
Putin	Putin	PER	124-0
Ukrainę	Ukraina	LOC	119-23
Pieskow	Pieskow	PER	124-79
Ukrainy	Ukraina	LOC	119-19
Niemcy	Niemiec	LOC	151-48
Ukraina	Ukraina	LOC	119-21
Rosji	Rosja	LOC	158-19
Niemiec	Niemcy	LOC	151-49
Morze Bałtyckie	Morze bałtycki	LOC	123-41
Ust-Ługi	Ust-ługi	LOC	119-28
Greifswaldu	Greifswald	LOC	140-3
Niemczech	Niemcy	LOC	151-50
Polska	Polska	LOC	124-62
Stany Zjednoczone	Stany Zjednoczone	LOC	134-76
PAP	PAP	ORG	124-51
