pl-492
Nord Stream 2	Nord Stream 2	PRO	151-9
Mateusz Morawiecki	Mateusz Morawiecki	PER	123-16
Europę	Europa	LOC	118-47
Łodzi	Łódź	LOC	122-2
Morawiecki	Morawiecki	PER	123-19
Polska	Polska	LOC	124-62
Gazprom	Gazprom	ORG	140-4
Polski	Polska	LOC	124-63
Białorusi	Białoruś	LOC	149-46
Ukrainy	Ukraina	LOC	119-19
polskiej	polski	LOC	124-68
Ukraina	Ukraina	LOC	119-21
NATO	NATO	ORG	151-22
Brukseli	Bruksela	LOC	149-21
Europy Środkowej	Europa Środkowy	LOC	118-19
PAP	PAP	ORG	124-51
Grzegorz Bruszewski	Grzegorz Bruszewski	PER	140-28
Jacek Walczak	Jacek Walczak	PER	114-47
