pl-513
Merkel	Merkel	PER	131-107
Nord Stream 2	Nord Stream 2	PRO	151-9
Berlin	Berlin	LOC	149-4
Moskwa	Moskwa	LOC	123-43
Ukrainę	Ukraina	LOC	119-23
Tbilisi	Tbilisi	LOC	139-26
Morze Bałtyckie	Morze bałtycki	LOC	123-41
Ust-	Ust-	LOC	xxx
Ługi	Ługi	LOC	xxx
Rosji	Rosja	LOC	158-19
Greifswaldu	Greifswald	LOC	140-3
Niemczech	Niemcy	LOC	151-50
Rosja	Rosja	LOC	158-21
Ukrainy	Ukraina	LOC	119-19
Polska	Polska	LOC	124-62
Ukraina	Ukraina	LOC	119-21
Stany Zjednoczone	Stany Zjednoczone	LOC	134-76
Nord Stream	Nord Stream	PRO	151-9
Gazprom	Gazprom	ORG	140-4
OMV	OMV	ORG	153-6
BASF- Wintershall	BASF- Wintershall	ORG	149-38
Uniper	Uniper	ORG	119-0
Engie	Enga	ORG	118-17
Royal Dutch Shell	Royal Dutch Shell	ORG	158-5
