pl-461
Nord Stream 2	Nord Stream 2	PRO	151-9
Polska	Polska	LOC	124-62
Niemcy	Niemiec	LOC	151-48
Angeli Merkel	Angela Merkel	PER	131-30
Ukrainę	Ukraina	LOC	119-23
Instytutu Jagiellońskiego	instytut jagielloński	ORG	138-30
Marcin Roszkowski	Marcin Roszkowski	PER	123-21
Mateusza Morawieckiego	Mateusz Morawiecki	PER	123-16
Morawiecki	Morawiecki	PER	123-19
Polski	Polska	LOC	124-63
Merkel	Merkel	PER	123-45
Europy	Europa	LOC	118-43
PAP	PAP	ORG	124-51
Roszkowski	Roszkowski	PER	158-30
Federacja Rosyjska	federacja rosyjski	LOC	168-22
Norwegii	Norwegia	LOC	151-57
Rosja	Rosja	LOC	158-21
Ukrainie	Ukraina	LOC	119-22
Ukraina	Ukraina	LOC	119-21
