cs-1167
Barnier	Barnier	PER	PER-Michel-Barnier
Británie	Británie	LOC	GPE-Great-Britain
Británii	Británie	LOC	GPE-Great-Britain
DPA	DPA	ORG	ORG-DPA
EU	EU	ORG	ORG-European-Union
Evropská komise	Evropská komise	ORG	ORG-European-Commission
Evropské unie	Evropská unie	ORG	ORG-European-Union
Focus	Focus	PRO	PRO-Focus-magazine
Irskem	Irsko	LOC	GPE-Ireland
Londýna	Londýn	LOC	GPE-London
Severním Irskem	Severní Irsko	LOC	GPE-Northern-Ireland
Velké Británie	Velké Británie	LOC	GPE-Great-Britain
brexitu	brexit	EVT	EVT-Brexit
