pl-172
BBC	BBC	PRO	PRO-BBC
Brukselą	Bruksela	LOC	GPE-Brussles
Brytyjczycy	Brytyjczycy	PER	GPE-Great-Britain
Brytyjczyków	Brytyjczycy	PER	GPE-Great-Britain
EMA	EMA	ORG	ORG-EMA-European-Medicines-Agency
EPL	EPL	ORG	ORG-EPP-European-Peoples-Party
Europejska Agencja ds. Leków	Europejska Agencja ds. Leków	ORG	ORG-EMA-European-Medicines-Agency
Europejskiej Partii Ludowej	Europejska Partia Ludowa	ORG	ORG-EPP-European-Peoples-Party
Guy Verhofstadt	Guy Verhofstadt	PER	PER-Guy-Verhofstadt
Manfred Weber	Manfred Weber	PER	PER-Manfred-Weber
May	May	PER	PER-Theresa-May
Parlamencie Europejskim	Parlament Europejski	ORG	ORG-European-Parliament
Theresa May	Theresa May	PER	PER-Theresa-May
UE	UE	ORG	ORG-European-Union
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
Unią Europejską	Unia Europejska	ORG	ORG-European-Union
Weber	Weber	PER	PER-Manfred-Weber
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Wspólnotę	Wspólnota	ORG	ORG-European-Union
Zjednoczonym Królestwem	Zjednoczone Królestwo	LOC	GPE-Great-Britain
brexicie	Brexit	EVT	EVT-Brexit
brexitem	Brexit	EVT	EVT-Brexit
brexitu	Brexit	EVT	EVT-Brexit
europarlamencie	Europarlament	ORG	ORG-European-Parliament
