pl-1912
Brexitu	Brexit	EVT	EVT-Brexit
David Davis	David Davis	PER	PER-David-Davis
Donalda Tuska	Donald Tusk	PER	PER-Donald-Tusk
Izba Gmin	Izba Gmin	ORG	ORG-House-of-Commons
Izbie Gmin	Izba Gmin	ORG	ORG-House-of-Commons
Izby Gmin	Izba Gmin	ORG	ORG-House-of-Commons
Izby Lordów	Izba Lordów	ORG	ORG-House-of-Lords
Jean-Claude'a Junckera	Jean-Claude Juncker	PER	PER-Jean-Claude-Juncker
Jeremy Corbyn	Jeremy Corbyn	PER	PER-Jeremy-Corbyn
Keir Starmer	Keir Starmer	PER	PER-Keir-Starmer
Komisji Europejskiej	Komisja Europejska	ORG	ORG-European-Commission
Partii Pracy	Partia Pracy	ORG	ORG-Labour-Party-UK
Rady Europejskiej	Rada Europejska	ORG	ORG-European-Council
Theresy May	Theresa May	PER	PER-Theresa-May
UE	UE	ORG	ORG-European-Union
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Wspólnotę	Wspólnota	ORG	ORG-European-Union
