pl-469
Brexitu	Brexit	EVT	EVT-Brexit
Brukseli	Bruksela	LOC	GPE-Brussles
Demokratyczna Partia Unionistów	Demokratyczna Partia Unionistów	ORG	ORG-DUP-Democratic-Unionist-Party
Irlandia Północna	Irlandia Północna	LOC	LOC-Irlends-countries
Irlandii Północnej	Irlandia Północna	LOC	LOC-Irlends-countries
Irlandii Płn.	Irlandii Płn.	LOC	GPE-Northern-Ireland
Irlandii	Irlandia	LOC	GPE-Ireland
Izbie Gmin	Izba Gmin	ORG	ORG-House-of-Commons
Izby Lordów	Izba Lordów	ORG	ORG-House-of-Lords
Londynie	Londyn	LOC	GPE-London
Michaela Ashcrofta	Michael Ashcroft	PER	PER-Michael-Ashcroft
Partię Konserwatywną	Partia Konserwatywna	ORG	ORG-Conservative-and-Unionist-Party-UK
Republika	Republika	LOC	GPE-Ireland
Tony Blair	Tony Blair	PER	PER-Tony-Blair
UE	UE	ORG	ORG-European-Union
Ulsterze	Ulster	LOC	GPE-Ulster
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
Unią Europejską	Unia Europejska	ORG	ORG-European-Union
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Wspólnotę	Wspólnota	ORG	ORG-European-Union
porozumienia wielkopiątkowego	Porozumienie wielkopiątkowe	PRO	PRO-GFA-Good-Friday-Agreement
porozumienie wielkopiątkowe	Porozumienie wielkopiątkowe	PRO	PRO-GFA-Good-Friday-Agreement
porozumieniem wielkopiątkowym	Porozumienie wielkopiątkowe	PRO	PRO-GFA-Good-Friday-Agreement
