pl-674
Brexitu	Brexit	EVT	EVT-Brexit
Brytyjczycy	Brytyjczycy	PER	GPE-Great-Britain
Brytyjczyków	Brytyjczycy	PER	GPE-Great-Britain
Europa	Europa	LOC	LOC-Europe
Europejczykami	Europejczycy	PER	LOC-Europe
Fiona Mougenot	Fiona Mougenot	PER	PER-Fiona-Mougenot
Francja	Francja	LOC	GPE-France
Francji	Francja	LOC	GPE-France
Francją	Francja	LOC	GPE-France
Francuzami	Francuzi	PER	GPE-France
Le Figaro	Le Figaro	PRO	PRO-Le-Figaro-newspaper
Mougenot	Mougenot	PER	PER-Fiona-Mougenot
UE	UE	ORG	ORG-European-Union
