pl-298
Brexitu	Brexit	EVT	EVT-Brexit
Brytyjski parlament	Brytyjski Parlament	ORG	ORG-British-Parlament
Elżbiety II	Elżbieta II	PER	PER-Queen-Elizabeth-II
Izba Gmin	Izba Gmin	ORG	ORG-House-of-Commons
Izba Lordów	Izba Lordów	ORG	ORG-House-of-Lords
Izby Gmin	Izba Gmin	ORG	ORG-House-of-Commons
Ministerstwo ds. wyjścia z Unii Europejskiej	Ministerstwo ds. wyjścia z Unii Europejskiej	ORG	ORG-Ministry-of-Brexity
PAP	PAP	ORG	ORG-PAP-Polish-Press-Agency
Partii Konserwatywnej	Partia Konserwatywna	ORG	ORG-Conservative-and-Unionist-Party-UK
Theresy May	Theresa May	PER	PER-Theresa-May
UE	UE	ORG	ORG-European-Union
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Wspólnoty	Wspólnota	ORG	ORG-European-Union
Wspólnotę	Wspólnota	ORG	ORG-European-Union
brytyjskiego parlamentu	Brytyjski Parlament	ORG	ORG-British-Parlament
