sl-162
Evropski utrip	evropski utrip	PRO	53-81
Milanom Zverom	Milan Zver	PER	58-65
Brexit	Brexit	EVT	86-22
zahodnega Balkana	zahoden Balkan	LOC	80-28
Evropski poslanci	evropski poslanec	PER	53-82
Strasbourgu	Strasbourg	LOC	69-217
Junckerjevi	Junckerjev	PER	51-65
Svetom Evrope	svet Evropa	ORG	69-230
Brexita	Brexit	EVT	86-22
britanski	britanski	ORG	xxx
Združenega kraljestva	združen kraljestvo	LOC	80-21
Evropske unije	evropski unija	ORG	53-74
Evropskega sveta	evropski svet	ORG	53-72
Donald Tusk	Donald Tusk	PER	79-12
Evropske komisije	evropski komisija	ORG	53-73
Jean Cloud Juncker	Jean Cloud Juncker	PER	51-161
Britancem	Britanec	PER	86-144
EU	EU	ORG	53-71
Otočani	Otočan	PER	91-27
evropskemu poslancu	evropski poslanec	PER	53-82
EPP	EPP	ORG	53-77
Milanu Zveru	Milan Zver	PER	58-65
Tuska	Tusko	PER	76-27
Junckerja	Juncker	PER	51-147
Britanci	Britanec	PER	86-144
združenega kraljestva	združen kraljestvo	LOC	80-21
Irci	Irec	PER	75-54
Leo Varadkar	Leo Varadkar	PER	100-34
Milana Zvera	Milan Zver	PER	58-65
Varadkar	Varadkar	PER	98-25
Evropejec	Evropejec	PER	53-172
Macronovega	Macronov	PER	58-14
Velike Britanije	velik Britanija	LOC	98-26
Estoncih	Estonec	PER	53-130
Bolgarija	Bolgarija	LOC	86-314
Bojko Borisov	Bojko Borisov	PER	86-313
balkanskih držav	balkanski država	LOC	86-288
Evropsko unijo	evropski unija	ORG	53-74
Junker	Junker	PER	51-159
Evropsko komisijo	evropski komisija	ORG	53-73
Slovenijo	Slovenija	LOC	69-119
Hrvaško	Hrvaška	LOC	94-75
Milan Zver	Milan Zver	PER	58-65
Estonijo	Estonija	LOC	53-171
Borisova	borisov	PER	86-201
zahodnega Balkana Evropi	zahoden Balkan Evropa	LOC	80-28
Kosovski Mitrovici	kosovski Mitrovica	LOC	72-202
Kosovom	Kosovo	LOC	72-220
Srbijo	Srbija	LOC	69-226
Evropska komisija	evropski komisija	ORG	53-73
evropski poslanci	evropski poslanec	PER	53-82
