sl-22
Anton Anton	Anton Anton	PER	PER-Anton-Anton
Baltskim morjem	Baltsko morje	LOC	LOC-Baltic-Sea
Danske	Danska	LOC	GPE-Denmark
EU	EU	ORG	ORG-European-Union
Evrope	Evropa	LOC	LOC-Europe
Evropskim parlamentom	Evropski parlament	ORG	ORG-European-Parliament
Finske	Finska	LOC	GPE-Finland
Gazprom	Gazprom	ORG	ORG-Gazprom
Nemčije	Nemčija	LOC	GPE-Germany
Nemčijo	Nemčija	LOC	GPE-Germany
Rusije	Rusija	LOC	GPE-Russia
Rusijo	Rusija	LOC	GPE-Russia
Severnega toka 2	Severni tok 2	PRO	PRO-Nord-Stream-2
Severni tok 1	Severni tok 1	PRO	PRO-Nord-Stream-1
Severni tok 2	Severni tok 2	PRO	PRO-Nord-Stream-2
Sveta EU	Svet EU	ORG	ORG-EU-Council
Svetu EU	Svet EU	ORG	ORG-EU-Council
dpa	dpa	ORG	ORG-DPA
Švedske	Švedska	LOC	GPE-Sweden
