sl-57
Severni tok 2	severen tok 2	PRO	134-47
Nemška agencija za pomorstvo in hidrografijo	nemški agencija za pomorstvo in hidrografija	ORG	151-112
Baltskem morju	baltski morje	LOC	149-8
AFP	AFP	ORG	131-20
Nord Stream 2 AG	Nord Stream 2 AG	ORG	151-3
Gazprom	Gazprom	ORG	140-4
Rusija	Rusija	LOC	158-47
Finska	Finska	LOC	168-28
Danska	Danska	LOC	143-47
Švedska	Švedska	LOC	156-0
Nemčijo	Nemčija	LOC	151-61
Ukrajine	Ukrajina	LOC	119-9
EU	EU	ORG	118-8
Poljska	Poljska	LOC	124-5
baltske države	baltski država	LOC	149-95
Angela Merkel	Angela Merkel	PER	131-28
Nemčije	Nemčija	LOC	151-61
Sergeja Skripala	Sergej Skripal	PER	134-15
Veliki Britaniji	velik Britanija	LOC	161-15
Rusiji	Rusija	LOC	158-49
Ukrajini	Ukrajina	LOC	119-9
