pl-514
Brexitu	Brexit	EVT	EVT-Brexit
Brytyjczycy	Brytyjczycy	PER	GPE-Great-Britain
Johnson	Johnson	PER	PER-Boris-Johnson
Johnsona	Johnson	PER	PER-Boris-Johnson
Liberalnych Demokratów	Liberalni Demokraci	ORG	ORG-Scottish-Liberal-Democrats
MSZ	MSZ	ORG	ORG-Ministry-of-Foreign-Affairs-UK
May	May	PER	PER-Theresa-May
Nick Clegg	Nick Clegg	PER	PER-Nick-Clegg
Nigel Farage	Nigel Farage	PER	PER-Nigel-Farage
Partii Konserwatywnej	Partia Konserwatywna	ORG	ORG-Conservative-and-Unionist-Party-UK
Partii Niepodległości Zjednoczonego Królestwa	Partia Niepodległości Zjednoczonego Królestwa	ORG	ORG-UK-Independence-Party
Partii Pracy	Partia Pracy	ORG	ORG-Labour-Party-UK
The Sun	The Sun	PRO	PRO-The-Sun
Theresę May	Theresa May	PER	PER-Theresa-May
Tony Blair	Tony Blair	PER	PER-Tony-Blair
UE	UE	ORG	ORG-European-Union
UKIP	UKIP	ORG	ORG-UK-Independence-Party
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Wielką Brytanię	Wielka Brytania	LOC	GPE-Great-Britain
Wspólnoty	Wspólnota	ORG	ORG-European-Union
Wspólnotą	Wspólnota	ORG	ORG-European-Union
