pl-559
A4	A4	PRO	PRO-A4
Brexitu	Brexit	EVT	EVT-Brexit
Business Garden II	Business Garden II	LOC	LOC-Business-Garden-II
Business Garden	Business Garden	LOC	LOC-Business-Garden
Capgemini	Capgemini	ORG	ORG-Capgemini
Credit Agricole	Credit Agricole	ORG	ORG-Credit-Agricole
Daria Dudek	Daria Dudek	PER	PER-Daria-Dudek
Dolnego Śląska	Dolny Śląsk	LOC	LOC-Lower-Silesia
Europie Zachodniej	Europa Zachodnia	LOC	LOC-Western-Europe
Krakowie	Kraków	LOC	GPE-Kraków
Nuvalu Polska	Nuvalu Polska	ORG	ORG-Nuvalu-Polska
Polsce	Polska	LOC	GPE-Poland
Polska	Polska	LOC	GPE-Poland
Unii	Unia	ORG	ORG-European-Union
Warszawie	Warszawa	LOC	GPE-Warsaw
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Wrocław	Wrocław	LOC	GPE-Wrocław
Wrocławia	Wrocław	LOC	GPE-Wrocław
Wrocławiu	Wrocław	LOC	GPE-Wrocław
