pl-1967
Brexitu	Brexit	EVT	EVT-Brexit
Londynem	Londyn	LOC	GPE-London
May	May	PER	PER-Theresa-May
Michel Barnier	Michel Barnier	PER	PER-Michel-Barnier
PAP	PAP	ORG	ORG-PAP-Polish-Press-Agency
Theresą May	Theresa May	PER	PER-Theresa-May
Trybunału Sprawiedliwości UE	Trybunał Sprawiedliwości UE	ORG	ORG-European-Court-of-Justice
Tusk	Tusk	PER	PER-Donald-Tusk
Tuska	Tusk	PER	PER-Donald-Tusk
UE	UE	ORG	ORG-European-Union
Unią	Unia	ORG	ORG-European-Union
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Wielką Brytanią	Wielka Brytania	LOC	GPE-Great-Britain
umowa o wolnym handlu	Umowa o wolnym handlu	PRO	PRO-FTA-Free-Trade-Agreement
umowy o wolnym handlu	Umowa o wolnym handlu	PRO	PRO-FTA-Free-Trade-Agreement
