sl-154
Afera Tetra	Afera Tetra	EVT	EVT-The-Tetra-Scandal
Dejan Ornig	Dejan Ornig	PER	PER-Dejan-Ornig
Dejana Orniga	Dejan Ornig	PER	PER-Dejan-Ornig
Gregor Gregorič	Gregor Gregorič	PER	PER-Gregor-Gregorič
Gregorič	Gregorič	PER	PER-Gregor-Gregorič
Gregorja Gregoriča	Gregor Gregorič	PER	PER-Gregor-Gregorič
Janez Stušek	Janez Stušek	PER	PER-Janez-Stušek
Jerica Jančar	Jerica Jančar	PER	PER-Jerica-Jančar
Klemnom Radetičem	Klemen Radetič	PER	PER-Klemen-Radetič
Majo Šuštar	Maja Šuštar	PER	PER-Maja-Šuštar
Mihom Rističem	Miha Ristič	PER	PER-Miha-Ristič
Mitjo Mišigojem	Mitja Mišigoj	PER	PER-Mitja-Mišigoj
Ornig	Ornig	PER	PER-Dejan-Ornig
Orniga	Ornig	PER	PER-Dejan-Ornig
Ornigom	Ornig	PER	PER-Dejan-Ornig
Ornigu	Ornig	PER	PER-Dejan-Ornig
Picasso	Picasso	PER	PER-Dejan-Ornig
Radetičem	Radetič	PER	PER-Klemen-Radetič
Robertu Bajuku	Robert Bajuk	PER	PER-Robert-Bajuk
Stušek	Stušek	PER	PER-Janez-Stušek
Tetra	Tetra	PRO	PRO-Digital-Communication-System-TETRA
Tetre	Tetra	PRO	PRO-Digital-Communication-System-TETRA
policist	policist	PER	ORG-Slovenian-National-Police-Force
policisti	policisti	PER	ORG-Slovenian-National-Police-Force
policistom	policisti	PER	ORG-Slovenian-National-Police-Force
policistov	policisti	PER	ORG-Slovenian-National-Police-Force
specializirano državno tožilstvo	specializirano državno tožilstvo	ORG	ORG-Specializirano-Državno-Tožilstvo-Republike-Slovenije
zakonu o elektronskih komunikacijah	zakon o elektronskih komunikacijah	PRO	PRO-Slovenian-Electronic-Communications-Act
