bg_3038
24 часа	24 часа	PRO	PRO-24-chasa
Ася Биби	Асия Биби	PER	PER-Asia-Bibi
Ася	Асия	PER	PER-Asia-Bibi
БТА	БТА	ORG	ORG-Bulgarian-News-Agency
Бенедикт Шестнайсети	Бенедикт Шестнайсети	PER	PER-Benedict-XVI
Върховният съд на Пакистан	Върховен съд на Пакистан	ORG	ORG-Supreme-Court-of-Pakistan
Имран Хан	Имран Хан	PER	PER-Imran-Khan
Исламабад	Исламабад	LOC	GPE-Islamabad
Пакистан	Пакистан	LOC	GPE-Pakistan
Равалпинди	Равалпинди	LOC	GPE-Rawalpindi
Сакиб Низар	Сакиб Низар	PER	PER-Mian-Saqib-Nisar
Техрик-и-лабаик	Терек е Лабайк	ORG	ORG-Tehreek-e-Labbaik-Pakistan
Франциск	Франциск	PER	PER-Pope-Francis
