uk-21
Brexit	Brexit	EVT	EVT-Brexit
Nord Stream 2 AG	Nord Stream 2 AG	ORG	ORG-Nord-Stream-2-AG
Nord Stream AG	Nord Stream AG	ORG	ORG-Nord-Stream-AG
Британія	Британія	LOC	GPE-Great-Britain
Вищий суд швейцарського кантону Цуг	Вищий суд швейцарського кантону Цуг	ORG	ORG-Supreme-Court-Canton-Zug
Вищим судом	Вищий суд	ORG	ORG-Supreme-Court-Switzerland
Газпром	Газпром	ORG	ORG-Gazprom
Газпрому	Газпром	ORG	ORG-Gazprom
Нафтогаз	Нафтогаз	ORG	ORG-Naftogaz
Нафтогазу	Нафтогаз	ORG	ORG-Naftogaz
Нафтогазі	Нафтогаз	ORG	ORG-Naftogaz
Північний потік-2	Північний потік-2	ORG	ORG-Nord-Stream-2-AG
Росії	Росія	LOC	GPE-Russia
УНН	УНН	ORG	ORG-UNN
України	Україна	LOC	GPE-Ukraine
Цуг	Цуг	LOC	GPE-Zug
