sl-180
brexit	brexit	EVT	193-19
Tottenham	Tottenham	ORG	189-18
lige prvakov	liga prvak	ORG	200-15
Evrope	Evropa	LOC	178-15
AMSTERDAM	Amsterdam	LOC	184-55
Velika Britanija	velik Britanija	LOC	199-4
Evropske unije	evropski unija	ORG	178-4
Nemčija	Nemčija	LOC	194-10
ligi prvakov	liga prvak	ORG	200-15
Angleži	Anglež	PER	184-56
Madridu	Madrid	ORG	181-22
Liverpoolu	Liverpool	ORG	200-16
Ajax	Ajax	ORG	184-22
Amsterdamu	Amsterdam	LOC	184-102
Matthijs de Ligt	Matthijs de Ligt	PER	181-49
Hakim Ziyech	Hakim Ziyech	PER	197-22
Lucas Moura	Lucas Moura	PER	200-17
Manchester United	Manchester United	ORG	181-21
Chelsea	Chelsea	ORG	202-23
Tottenhama	Tottenham	ORG	189-18
Mauricio Pochettino	Mauricio Pochettino	PER	181-54
Brazilec	Brazilec	PER	193-54
Paris Saint-Germaina	Paris Saintrgermain	ORG	182-12
Neymarja	Neymar	PER	194-44
Moura	Moura	PER	181-28
Liverpoola	Liverpool	ORG	200-16
Otoku	otok	LOC	195-18
zdaj	zdaj	LOC	xxx
Tottenhamove	Tottenhamov	ORG	189-39
Harry Kane	Harry Kane	PER	197-15
Kane	Kane	PER	187-27
Ajaxov	Ajaxov	ORG	184-22
Erik ten Hag	Erik ten Hag	PER	178-29
Reala	Real	ORG	198-10
Juventusa	Juventus	ORG	176-18
