bg-55
"Северен поток" 2	Северен поток 2	PRO	PRO-Nord-Stream-2
27-та Международна газова конференция	Двадесет и седма международна газова конференция	EVT	EVT-27th-World-Gas-Conference
Engie	Engie	ORG	ORG-Engie
Nord Stream 2 AG	Nord Stream 2 AG	ORG	ORG-Nord-Stream-2-AG
Nord Stream 2	Nord Stream 2	ORG	ORG-Nord-Stream-2-AG
OMV	OMV	ORG	ORG-OMV
Shell	Shell	ORG	ORG-Royal-Dutch-Shell-BG-Group
Uniper	Uniper	ORG	ORG-Uniper
Wintershall	Wintershall	ORG	ORG-Wintershall
Вашингтон	Вашингтон	LOC	GPE-WashingtonDC
Газпром	Газпром	ORG	ORG-Gazprom
Дания	Дания	LOC	GPE-Denmark
Коркоран	Коркоран	PER	PER-Paul-Corcoran
Пол Коркоран	Пол Коркоран	PER	PER-Paul-Corcoran
ТАСС	ТАСС	ORG	ORG-TASS-Agency
