sl-70
 Las Vegasu	Las Vegas	LOC	GPE-Las-Vegas
90Fun	90Fun	ORG	ORG-90FUN
CES	CES	EVT	EVT-CES-Consumer-Electronic-Show
Cowarobot r1	Cowarobot r1	PRO	PRO-Indiegogo-Cowarobot-r1
Discworld	Discworld	PRO	PRO-Discworld
Indiegogo	Indiegogo	PRO	PRO-Indiegogo
Ploščati svet	Ploščati svet	PRO	PRO-Discworld
Segway	Segway	ORG	ORG-Segway
Terryja Pratchetta	Terry Pratchett	PER	PER-Terry-Pratchett
Xiaomi	Xiaomi	ORG	ORG-Xiaomi
cowarobot r1	cowarobot r1	PRO	PRO-Indiegogo-Cowarobot-r1
kužek1	kužek1	PRO	PRO-Xiaomi-Puppy-1
puppy1	puppy1	PRO	PRO-Xiaomi-Puppy-1
