pl-1342
Brexitu	Brexit	EVT	86-22
Rosjanami	Rosjanin	PER	95-43
Stalina	Stalin	PER	69-86
The Sunday Times	The Sunday Times	PRO	76-9
Partii Niepodległości Zjednoczonego Królestwa	partia Niepodległość zjednoczyć królestwo	ORG	59-33
UKIP	UKIP	ORG	54-0
Nigela Farage’a	Nigela Faragex	PER	88-4
Arron Banks	Arron Banks	PER	66-15
Andy Wigmore	Andy Wigmore	PER	66-16
Moskwy	Moskwa	LOC	58-16
Wielkiej Brytanii	Wielki Brytania	LOC	111-17
torze wyścigów konnych Doncaster Copacabana	tor wyścig konny Doncaster Copacaban	LOC	76-99
Trump Tower	Trump Tower	LOC	76-61
Nowym Jorku	Nowy Jork	LOC	88-11
Belize	Belize	LOC	86-192
Jamesa Bonda	James Bonda	PER	51-169
Goldfinger	Goldfinger	PER	77-114
RUPTLY	RUPTLY	ORG	95-98
USA	USA	LOC	54-2
Donald Trump	Donald Trump	PER	79-11
UE	UE	ORG	54-7
Moskwą	Moskwa	LOC	58-16
Rosji	Rosja	LOC	95-37
Londynie	Londyn	LOC	100-25
The Bad Boys of Brexit : Tales of Mischief , Mayhem and Guerrilla Warfare in the EU Referendum Campaign	the Bad Boys of Brexit : Tales of Mischief , Mayh and Guerrill Warfare inny the EU referendum Campaign	PRO	76-95
Aleksandrem Jakowienko	Aleksander Jakowienko	PER	66-21
Józefa Stalina	Józef Stalin	PER	51-94
Banks	Banks	PER	86-62
Trumpa	Trump	PER	76-55
Nigelem Farge’em	Nigele Farget	PER	88-9
Trump	Trump	PER	76-18
Banksa	Banks	PER	86-62
Jakowienkę	Jakowienka	PER	51-142
Londynu	Londyn	LOC	100-25
Trumpem	Trump	PER	76-22
Jakowienko	Jakowienko	PER	51-33
Waszyngtonie	Waszyngton	LOC	111-9
Rosją	Rosja	LOC	95-38
Leave .	Leave .	ORG	100-6
EU	EU	ORG	100-6
Atlantyku	Atlantyk	LOC	66-67
