pl-705
Brexit	brexit	EVT	86-30
Europa	Europa	LOC	53-91
Islamabad	Islamabad	LOC	75-19
Unia Europejska	unia europejski	ORG	54-15
Pakistanowi	Pakistan	LOC	59-101
Pakistan	Pakistan	LOC	59-23
GSP	GSP	PRO	77-44
+	+	PRO	xxx
UE	UE	ORG	54-7
Londyn	Londyn	LOC	100-21
Komisji UE	komisja UE	ORG	72-187
Mahometa	Mahomet	PER	58-62
Nadeema Jamesa	Nadem James	PER	88-86
Pakistanu	Pakistan	LOC	59-23
Polska	Polska	LOC	59-4
Europie	Europa	LOC	53-91
Chinom	Chiny	PER	107-29
Gwadar	Gwadar	LOC	77-99
Europy	Europa	LOC	53-91
Donalda Trumpa	Donald Trump	PER	79-11
talibów	talib	ORG	76-133
Afganistanu	Afganistan	LOC	66-45
Afganistanie	Afganistan	LOC	66-45
Państwo Islamskie	państwo islamski	LOC	59-186
Syrii	Syria	LOC	69-97
Iraku	Irak	LOC	75-35
Waszyngton	Waszyngton	LOC	111-9
