pl-430
FT	FT	PRO	106-22
Polską	Polska	LOC	59-41
UE	UE	ORG	54-7
Polsce	Polska	LOC	59-44
druga wojna światowa	drugi wojna światowy	EVT	79-54
Warszawy	Warszawa	LOC	111-6
Brukselą	Bruksela	LOC	86-87
Rachman	Rachman	PER	95-53
Polski	Polska	LOC	59-5
Europie	Europa	LOC	53-91
Unia Europejska	unia europejski	ORG	54-15
Warszawą	Warszawa	LOC	111-6
Komisja Europejska	komisja europejski	ORG	72-24
Warszawie	Warszawa	LOC	111-6
polski	polski	LOC	59-10
Węgry	Węgry	LOC	111-26
Rachmana	Rachman	PER	95-53
Viktora Orbana	Viktor Orban	PER	98-9
Viktor	Viktor	PER	98-9
Orban	Orban	PER	91-15
Fideszu	Fidesz	ORG	106-9
Europejskiej Partii Ludowej	europejski partia ludowy	ORG	53-35
EPL	EPL	ORG	53-56
Parlamencie Europejskim	parlament europejski	ORG	59-38
Niemczech	Niemcy	LOC	88-33
Brukselę	Bruksela	LOC	86-87
Warszawę	Warszawa	LOC	111-6
Brukseli	Bruksela	LOC	86-87
KE	KE	ORG	72-126
Brexitem	Brexit	EVT	86-22
Polskę	Polska	LOC	59-41
Polska	Polska	LOC	59-4
Unię	unia	ORG	54-14
Brexitu	Brexit	EVT	86-22
polskiej	polski	LOC	59-7
