pl-1627
brexitu	brexit	EVT	86-88
Wielka Brytania	wielki Brytania	LOC	111-25
unii	unia	ORG	xxx
Irlandią	Irlandia	LOC	75-24
Irlandią Północną	Irlandia północny	LOC	75-26
Theresa May	Theres May	PER	76-40
David Davis	David Davis	PER	79-14
Partii Konserwatywnej	partia konserwatywny	ORG	59-52
Demokratyczna Partia Unionistyczna	demokratyczny partia unionistyczny	ORG	79-32
DUP	DUP	ORG	79-6
Irlandii Północnej	Irlandia północny	LOC	75-22
Irlandia Pn .	Irlandia północny .	LOC	75-25
Wielkiej Brytanii	Wielki Brytania	LOC	111-17
May	May	PER	58-114
Davisem	Davis	PER	79-20
