pl-465
Wielka Brytania	wielki Brytania	LOC	111-25
Izba Gmin	izba gmin	ORG	75-23
ustawę o wyjściu z UE	ustawa o wyjść z UE	PRO	54-29
Ustawa o Wyjściu z Unii Europejskiej	ustawa o wyjście z unia europejski	PRO	54-30
Wspólnoty	wspólnota	ORG	111-24
Unii Europejskiej	unia europejski	ORG	54-13
Brexitu	Brexit	EVT	86-22
David Davis	David Davis	PER	79-14
Theresy May	Theresy May	PER	76-16
UE	UE	ORG	54-7
Izbie Lordów	izba lord	ORG	75-3
Partia Konserwatywna Reutera	partia konserwatywny Reuter	ORG	59-52
Izbę Gmin	izba gmin	ORG	75-41
Partii Pracy	partia praca	ORG	59-35
Jeremy Corbyn	Jeremy Corbyn	PER	51-9
