pl-566
Brexitu	Brexit	EVT	86-22
Brytyjczycy	Brytyjczyk	PER	86-86
Tony Blair	Tony Blair	PER	76-33
W . Brytanii	W . Brytania	LOC	111-41
UE	UE	ORG	54-7
Blair	Blair	PER	86-81
Unii Europejskiej	unia europejski	ORG	54-13
Instytut na rzecz Globalnej Zmiany	instytut na rzecz Globalny zmiana	ORG	75-79
USA	USA	LOC	54-2
Europie	Europa	LOC	53-91
Europy	Europa	LOC	53-91
Atlantyku	Atlantyk	LOC	66-67
Brytyjczyków	Brytyjczyk	PER	86-86
Wielkiej Brytanii	Wielki Brytania	LOC	111-17
Unią Europejską	unia europejski	ORG	54-17
Irlandii Północnej	Irlandia północny	LOC	75-22
Irlandią	Irlandia	LOC	75-24
mamy	mieć	PER	xxx
Wspólnoty	wspólnota	ORG	111-24
brytyjski parlament	brytyjski parlament	ORG	86-32
brytyjskiego parlamentu	brytyjski parlament	ORG	86-32
Theresy May	Theresy May	PER	76-16
Blaira	Blair	PER	86-81
Europa	Europa	LOC	53-91
Polaków	Polak	PER	59-45
Nigel Farage	Nigel Farage	PER	88-4
Partii Niepodległości Zjednoczonego Królestwa	partia niepodległość zjednoczyć królestwo	ORG	59-33
Wielka Brytania	wielki Brytania	LOC	111-25
