pl-1676
brexitu	brexit	EVT	86-88
W . Brytanii	W . Brytania	LOC	111-41
UE	UE	ORG	54-7
Lee	Lee	PER	100-29
Izbę Lordów	izba lord	ORG	75-3
Unii Europejskiej	unia europejski	ORG	54-13
Wielka Brytania	wielki Brytania	LOC	111-25
W . Brytania	W . Brytania	LOC	111-41
brytyjskiego parlamentu	brytyjski parlament	ORG	86-32
Izby Lordów	izba lord	ORG	75-3
Phillip Lee	Phillip Lee	PER	59-13
Partii Konserwatywnej	partia konserwatywny	ORG	59-52
Izbie Gmin	izba gmin	ORG	75-27
Bracknell	Bracknell	LOC	86-126
Berkshire	Berkshire	LOC	86-127
Londynu	Londyn	LOC	100-25
Jakub Krupa	Jakub Krupa	PER	51-22
