pl-1234
Tusk	Tusk	PER	76-27
Brexitu	Brexit	EVT	86-22
27	27	ORG	60-1
Brexicie	Brexita	EVT	86-22
Twitterze	twitter	PRO	76-15
Komisja Europejska	komisja europejski	ORG	72-24
Wielka Brytania	wielki Brytania	LOC	111-25
Wielką Brytanią	Wielki Brytania	LOC	111-17
UE.	UE.	ORG	xxx
Brukseli	Bruksela	LOC	86-87
Wielkiej Brytanii	Wielki Brytania	LOC	111-17
UE	UE	ORG	54-7
Irlandią	Irlandia	LOC	75-24
Irlandią Płn .	Irlandia płnki_teryk .	LOC	75-30
Trybunału Sprawiedliwości UE	trybunał sprawiedliwość UE	ORG	76-54
