pl-1212
The Sun	The Sun	PRO	76-23
Davis	Davis	PER	79-20
brexicie	brexit	EVT	86-93
Królestwo	królestwo	LOC	72-41
Unia	unia	ORG	54-16
Londyn	Londyn	LOC	100-21
Unię	unia	ORG	54-14
Irlandia Północna	Irlandia Północny	LOC	75-38
Liechtenstine	Liechtenstine	LOC	100-95
północą	północ	LOC	59-188
DUP	DUP	ORG	79-6
Partii Konserwatywnej	partia konserwatywny	ORG	59-52
Theresy May	Theresy May	PER	76-16
Anglia	Anglia	LOC	66-56
Szkocja	Szkocja	LOC	69-67
Walia	Walia	LOC	111-8
Davida Davisa	David Davis	PER	79-14
Północy	północ	LOC	59-107
