pl-1360
Brexitu	Brexit	EVT	86-22
Brytyjski parlament	brytyjski parlament	ORG	86-32
Unii Europejskiej	unia europejski	ORG	54-13
Partii Konserwatywnej	partia konserwatywny	ORG	59-52
parlament Wielkiej Brytanii	parlament Wielki Brytania	ORG	59-34
Theresa May	Theres May	PER	76-40
UE	UE	ORG	54-7
Brytyjczyków	Brytyjczyk	PER	86-86
David Cameron	David Cameron	PER	79-13
Brytyjczykom	Brytyjczyk	PER	86-86
May	May	PER	58-34
Izbie Gmin	izba gmin	ORG	75-27
Izbie Lordów	izba lord	ORG	75-3
Elżbiety II	Elżbieta II	PER	53-38
