pl-469
Brexitu	Brexit	EVT	86-22
Irlandii	Irlandia	LOC	75-21
Irlandia Północna	Irlandia Północny	LOC	75-38
Unii Europejskiej	unia europejski	ORG	54-13
Izby Lordów	izba lord	ORG	75-3
Michaela Ashcrofta	Michael Ashcroft	PER	58-137
Irlandii Północnej	Irlandia północny	LOC	75-22
porozumieniem wielkopiątkowym	porozumienie wielkopiątkowy	PRO	59-37
Ulsterze	Ulstera	LOC	54-11
Demokratyczna Partia Unionistów	demokratyczny partia unionista	ORG	79-32
Izbie Gmin	izba gmin	ORG	75-27
Partię Konserwatywną	partia konserwatywny	ORG	59-52
Londynie	Londyn	LOC	100-25
Brukseli	Bruksela	LOC	86-87
Irlandii Płn .	Irlandia Płn .	LOC	75-33
Wielka Brytania	wielki Brytania	LOC	111-25
UE	UE	ORG	54-7
Wielkiej Brytanii	Wielki Brytania	LOC	111-17
Tony Blair	Tony Blair	PER	76-33
porozumienia wielkopiątkowego	porozumienie wielkopiątkowy	PRO	59-36
Republika	republika	LOC	95-20
Unią Europejską	unia europejski	ORG	54-17
porozumienie wielkopiątkowe	porozumienie wielkopiątkowy	PRO	59-36
Wspólnotę	wspólnota	ORG	111-24
