pl-1921
Brexit	brexit	EVT	86-30
Wyspach	wyspa	LOC	111-19
W . Bytanii	W . Bytania	LOC	111-123
Unii Europejskiej	unia europejski	ORG	54-13
Baker and McKenzie	Baker and Mckenzie	ORG	86-71
Niemczech	Niemcy	LOC	88-33
Francji	Francja	LOC	106-23
Szwecji	Szwecja	LOC	69-60
Irlandii	Irlandia	LOC	75-21
Hiszpanii	Hiszpania	LOC	94-22
Holandii	Holandia	LOC	94-11
Bruksela	Bruksela	LOC	86-87
Londynu	Londyn	LOC	100-25
Anahita Thoms	Anahita Thoms	PER	66-110
BDI	BDI	ORG	86-96
Brytyjczycy	Brytyjczyk	PER	86-86
Airbus	Airbus	ORG	66-27
W . Brytanii	W . Brytania	LOC	111-41
Theresy May	Theresy May	PER	76-16
Unii	unia	ORG	54-5
Londynowi	Londyn	LOC	100-25
