pl-478
Brexit	brexit	EVT	86-30
Stalina	Stalin	PER	69-86
USA	USA	LOC	54-2
Moskwy	Moskwa	LOC	58-16
Brytyjczycy	Brytyjczyk	PER	86-86
Kreml	Kreml	LOC	72-46
komisja ds . cyfrowych , kultury , mediów sportu	komisja do spraw . cyfrowy , kultura , media sport	ORG	xxx
Izbie Gmin	izba gmin	ORG	75-27
Marka Zuckerberga	Marek Zuckerberg	PER	58-26
Cambridge Analytica	Cambridge Analytica	ORG	107-4
Arron Banks	Arron Banks	PER	66-15
UE	UE	ORG	54-7
Wielką Brytanię	Wielki Brytania	LOC	111-17
Nigela Farage’a	Nigela Faragex	PER	88-4
Rosją	Rosja	LOC	95-38
