pl-1772
Brexitu	Brexit	EVT	86-22
Arrona Banksa	Arrona Banks	PER	66-14
The Observer	The Observer	PRO	76-6
Banks	Banks	PER	86-62
Moskwą	Moskwa	LOC	58-16
Rosji	Rosja	LOC	95-37
Londynie	Londyn	LOC	100-25
Aleksandr Jakowienko	Aleksandr Jakowienko	PER	66-21
Banksem	Banks	PER	86-62
Andrew Wigmorem	Andrew Wigmor	PER	66-96
Leave .	Leave .	ORG	100-6
EU	EU	ORG	100-6
UKIP	UKIP	ORG	54-0
Nigel Farage	Nigel Farage	PER	88-4
Jakowienko	Jakowienko	PER	51-33
Brytyjczycy	Brytyjczyk	PER	86-86
Twitterze	twitter	PRO	76-15
Rosjanami	Rosjanin	PER	95-43
Faragem	Farag	PER	106-11
USA	USA	LOC	54-2
Donalda Trumpa	Donald Trump	PER	79-11
Wielkiej Brytanii	Wielki Brytania	LOC	111-17
Unii Europejskiej	unia europejski	ORG	54-13
Sankt Petersburga	Sankt Petersburg	LOC	69-223
Wigmore	Wigmore	PER	111-3
Izbie Gmin	izba gmin	ORG	75-27
Damiana Collinsa	Damian Collinsa	PER	79-18
Rosja	Rosja	LOC	95-33
Arron Banks	Arron Banks	PER	66-15
