pl-354
Soros	Soros	PER	69-51
brexitowi	brexita	EVT	86-100
The Guardian	The Guardian	PRO	76-3
The Telegraph	The Telegraph	PRO	76-0
Best for Britain	Best forania_ńalna Britain	ORG	86-7
Wlk . Brytanii	Wlk . Brytania	LOC	111-40
brexitu	brexit	EVT	86-88
Soros Open Society Foundation	Soros Open Society Foundation	ORG	69-153
OSF	OSF	ORG	91-10
Wielką Brytanię	Wielki Brytania	LOC	111-17
UE	UE	ORG	54-7
Bank of England	bank of England	ORG	86-13
Królestwo	królestwo	LOC	72-41
Unii Europejskiej	unia europejski	ORG	54-13
