ru-ryanair-new-extra-991
Меркель	Меркель	PER	152-9
ЕС	ЕС	ORG	146-13
ТАСС	ТАСС	ORG	120-10
Братиславе	Братислав	LOC	127-23
Вишеградской группы	вишеградский группа	ORG	133-17
Венгрии	Венгрия	LOC	133-18
Польши	Польша	LOC	132-13
Словакии	Словакия	LOC	164-15
Чехии	Чехия	LOC	175-1
России	Россия	LOC	150-8
Германии	Германия	LOC	141-11
Германия	Германия	LOC	141-11
Нидерландов	Нидерланды	LOC	160-19
Норвегии	Норвегия	LOC	160-49
Газовой директиве Евросоюза	газовый директив Евросоюз	PRO	141-12
Франция	Франция	LOC	126-11
Париж	Париж	LOC	132-19
