ru-ryanair-new-extra-699
МИД Германии	мид Германия	ORG	152-22
„	„	PRO	xxx
Северного потока	Северный поток	PRO	xxx
Германии	Германия	LOC	141-11
Маас	Маас	PER	152-16
США	США	LOC	164-29
ФРГ	ФРГ	LOC	126-10
России	Россия	LOC	150-8
Балтийское море	Балтийский море	LOC	127-17
Владимир Путин	Владимир Путин	PER	133-4
Дональд Трамп	Дональд Трамп	PER	166-8
Европу	Европа	LOC	146-2
Ангела Меркель	Ангела Меркель	PER	130-13
Берлин	Берлин	LOC	127-7
Украины	Украина	LOC	147-3
Москва	Москва	LOC	xxx
Украину	Украина	LOC	147-3
