bg-54
Скрипал	скрипам-(се)	EVT	164-17
Германия	германия	LOC	141-0
Северен поток 2	северен поток 2	PRO	164-1
Меркел	меркел	PER	152-9
Русия	русия	LOC	150-4
Балтийско море	балтийски море	LOC	127-0
Daily Sabah	daily sabah	PRO	143-70
Федералната агенция за морска навигация и хидрография	федерален агенция за морски навигация и хидрография	ORG	126-2
Фокус	фокус	ORG	126-7
Финландия	финландия	LOC	126-0
Дания	дания	LOC	166-1
Швеция	швеция	LOC	171-0
Европейския съюз	европейски съюз	ORG	146-5
Полша	полша	LOC	132-0
Балтийските страни	балтийски страна	LOC	127-11
Северен поток	северен поток	PRO	164-1
Nord Stream 2 AG	nord stream два ag	ORG	151-0
Газпром	газпром	ORG	141-1
Engie	engie	ORG	118-5
OMV	omv	ORG	153-0
Shell	shell	ORG	134-1
Uniper	uniper	ORG	119-0
Wintershall	wintershall	ORG	174-0
BASF	basf	ORG	149-1
Европа	европа	LOC	146-0
Източна Европа	източен европа	LOC	165-1
ЕС	ес	ORG	146-4
руския	руски	LOC	150-2
Москва	москва	LOC	152-0
