bg-1190
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
ЕК	ЕК	ORG	ORG-European-Commission
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Ирландия	Ирландия	LOC	GPE-Ireland
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Проектът на споразумението за оттегляне	Проект на споразумение за оттегляне	PRO	PRO-Withdrawal-Agreement-Draft
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Съвместния доклад на преговарящите от името на Европейския съюз и правителството на Обединеното кралство относно напредъка през първия етап на преговорите	Съвместен доклад на преговарящите от името на Европейския съюз и правителството на Обединеното кралство относно напредъка през първия етап на преговорите	PRO	PRO-Joint-report-EU-UK-Brexit-2017
