bg-1626
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Гардиън	Гардиън	PRO	PRO-The-Guardian
Ги Верхофстад	Ги Верхофстад	PER	PER-Guy-Verhofstadt
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
Дейвис	Дейвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Лондон	Лондон	LOC	GPE-London
Мей	Мей	PER	PER-Theresa-May
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Файненшъл таймс	Файненшъл таймс	PRO	PRO-Financial-Times
