bg-522
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Германия	Германия	LOC	GPE-Germany
ЕС	ЕС	ORG	ORG-European-Union
Европейската икономическа зона	Европейска икономическа зона	ORG	ORG-EEA-European-Economic-Area
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Мей	Мей	PER	PER-Theresa-May
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Ройтерс	Ройтерс	ORG	ORG-Reuters
Световната търговска организация	Световна търговска организация	ORG	ORG-WTO-World-Trade-Organization
Съвета на ЕС	Съвет на ЕС	ORG	ORG-Council-of-the-European-Union
Съда на ЕС	Съд на ЕС	ORG	ORG-European-Court-of-Justice
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
