bg-86
Brussels Times	Brussels Times	PRO	PRO-The-Brussels-Times
Белгия	Белгия	LOC	GPE-Belgium
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Европейската народна партия	Европейска народна партия	ORG	ORG-EPP-European-Peoples-Party
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Испания	Испания	LOC	GPE-Spain
Италия	Италия	LOC	GPE-Italy
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Страсбург	Страсбург	LOC	GPE-Strasbourg
Фокус	Фокус	ORG	ORG-Focus-News-Agency
Франция	Франция	LOC	GPE-France
британците	британци	PER	GPE-Great-Britain
евродепутати	евродепутати	PER	ORG-European-Parlament
консерваторите	консерватори	PER	ORG-Conservative-and-Unionist-Party-UK
