bg-1672
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Гардиън	Гардиън	PRO	PRO-The-Guardian
ЕС	ЕС	ORG	ORG-European-Union
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Канада	Канада	LOC	GPE-Canada
Никола Стърджън	Никола Стърджън	PER	PER-Nicola-Sturgeon
СТО	СТО	ORG	ORG-WTO-World-Trade-Organization
Световната търговска организация	Световна търговска организация	ORG	ORG-WTO-World-Trade-Organization
Стърджън	Стърджън	PER	PER-Nicola-Sturgeon
Шотландия	Шотландия	LOC	GPE-Scotland
консерватори	консерватори	PER	ORG-Conservative-and-Unionist-Party-UK
