bg-348
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Камарата на лордовете	Камара на лордовете	ORG	ORG-House-of-Lords
Камарата на общините	Камара на общините	ORG	ORG-House-of-Commons
Лондон	Лондон	LOC	GPE-London
Мей	Мей	PER	PER-Theresa-May
Ройтерс	Ройтерс	ORG	ORG-Reuters
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
британския парламент	британски парламент	ORG	ORG-British-Parlament
законопроекта за Брекзита	Законопроект за Брекзит	PRO	PRO-Brexit-law-draft
