bg-1137
The Guardian	The Guardian	PRO	PRO-The-Guardian
Барние	Барние	PER	PER-Michel-Barnier
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Ирландия	Ирландия	LOC	GPE-Ireland
Йонислав Дочев	Йонислав Дочев	PER	PER-Yonislav-Donchev
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
