bg-1275
Evening Standard	Evening Standard	PRO	PRO-Evening-Standard
Ана Собри	Ана Собри	PER	PER-Anna-Soubry
Барние	Барние	PER	PER-Michel-Barnier
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Виктор Турмаков	Виктор Турмаков	PER	PER-Viktor-Turmakov
ЕС	ЕС	ORG	ORG-European-Union
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Консервативната партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Лондон	Лондон	LOC	GPE-London
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
