ua-1033
Brexit	Brexit	EVT	86-151
ЄС	ЄС	LOC	81-1
Мішель Барньє	Мішель Барньє	PER	89-45
Великої Британії	великий Британія	LOC	68-22
The Guardian	The Guardian	ORG	76-4
Європейського союзу	європейський союз	ORG	81-0
Барньє	Барньє	PER	63-107
Великобританія	Великобританія	LOC	68-31
Мей	Мей	PER	89-80
Євросоюз	Євросоюз	ORG	81-8
Великобританії	Великобританія	LOC	68-25
Терези Мей	Тереза Мей	PER	55-27
Тереза Мей	Тереза Мей	PER	55-27
Північної Ірландії	північний Ірландія	LOC	67-38
Великобританією	Великобританія	LOC	68-30
