ua-1007
Brexit	Brexit	EVT	86-151
Терези Мей	тереза Мей	PER	55-27
Великої Британії	великий Британія	LOC	68-22
Євросоюзу	Євросоюз	LOC	81-2
ЄС	ЄС	LOC	81-1
Тереза Мей	Тереза Мей	PER	55-27
Даунінг - стрит , 10	Даунінг - стрит , 10	LOC	103-29
Європи	Європа	LOC	81-5
Мей	Мей	PER	89-39
Ірландією	Ірландія	LOC	85-1
Північної Ірландії	північний Ірландія	LOC	67-38
Домінік Рааб	Домінік Рааб	PER	103-27
Північною Ірландією	північний Ірландія	LOC	67-38
Британія	Британія	LOC	63-104
Північна Ірландія	північний Ірландія	LOC	67-38
Сполученого Королівства	сполучений королівство	LOC	101-20
Митному союзі ЄС	митний союз ЄС	ORG	89-98
Європейського Союзу	європейський союз	ORG	81-0
Шейлеш Вара	Шейлеш Вара	PER	108-11
Естер Макві	Естер Макві	PER	82-57
Сюелла Браверман	Сюелла Браверман	PER	101-104
Раніл Джаявардена	Раніл джаявардений	PER	87-21
Майклом Гоувом	Майкл Гоув	PER	89-36
Терезі Мей	терег Мей	PER	55-27
Девід Девіс	Девід Девіс	PER	103-7
Джеремі Гант	Джерема Гант	PER	103-34
Девід Лідінгтон	Девід Лідінгтон	PER	103-96
Британії	Британія	LOC	63-100
Великою Британією	великий Британія	LOC	68-26
Брюсселі	Брюссель	LOC	63-103
Мішелю Барньє	Мішеля Барньє	PER	89-45
Європейської ради	європейський рада	ORG	81-3
Дональду Туску	Дональд Туска	PER	103-12
Туска	Туска	PER	55-3
Європарламенту	європарламент	ORG	81-4
Лондоном	Лондон	LOC	110-29
