bg-1076
БТВ	БТВ	PRO	PRO-BTV
Димитър Маргаритов	Димитър Маргаритов	PER	PER-Dimitar-Margaritov
ЕС	ЕС	ORG	ORG-European-Union
Европейския потребителски център	Европейски потребителски център	ORG	ORG-European-Consumer-Centre-Bulgaria
КЗП	КЗП	ORG	ORG-Commission-for-Consumer-Protection-Bulgaria
Комисията за защита на потребителите	Комисия за защита на потребителите	ORG	ORG-Commission-for-Consumer-Protection-Bulgaria
Лондон	Лондон	LOC	GPE-London
Маргаритов	Маргаритов	PER	PER-Dimitar-Margaritov
Пловдив	Пловдив	LOC	GPE-Plovdiv
Райънеър	Райънеър	ORG	ORG-Ryanair
Румъния	Румъния	LOC	GPE-Romania
София	София	LOC	GPE-Sofia
Тимишоара	Тимишоара	LOC	GPE-Timisoara
българи	българи	PER	GPE-Bulgaria
