cs-66
AP	AP	ORG	ORG-AP-The-Associated-Press
Asiou Bibiovou	Asia Bibiová	PER	PER-Asia-Bibi
Ašik Masíh	Ašik Masíh	PER	PER-Ashiq-Masih
BBC	BBC	PRO	PRO-BBC-website
Bibiovou	Bibiová	PER	PER-Asia-Bibi
Bibiová	Bibiová	PER	PER-Asia-Bibi
Bibiové	Bibiová	PER	PER-Asia-Bibi
Británie	Británie	LOC	GPE-Great-Britain
Británii	Británie	LOC	GPE-Great-Britain
Francie	Francie	LOC	GPE-France
Islámábád	Islámábád	LOC	GPE-Islamabad
Islámábádu	Islámábád	LOC	GPE-Islamabad
Kanadu	Kanada	LOC	GPE-Canada
Mohameda	Mohamed	PER	PER-Prophet-Muhammad
Pákistánu	Pákistán	LOC	GPE-Pakistan
Spojené státy	Spojené státy	LOC	GPE-USA
USA	USA	LOC	GPE-USA
Španělsko	Španělsko	LOC	GPE-Spain
