bg-536
Брекзит	Брекзит	EVT	EVT-Brexit
Туск	Туск	PER	PER-Donald-Tusk
Доналд Туск	Доналд Туск	PER	PER-Donald-Tusk
Великобритания	Великобритания	LOC	GPE-Great-Britain
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Жан-Клод Юнкер	Жан-Клод Юнкер	PER	PER-Jean-Claude-Juncker
ЕС	ЕС	ORG	ORG-European-Union
Европейския парламент	Европейски парламент	ORG	ORG-European-Parlament
Лондон	Лондон	LOC	GPE-London
Юнкер	Юнкер	PER	PER-Jean-Claude-Juncker
Вишеградската четворка	Вишеградска четворка	ORG	ORG-Visegrad-Group
Африка	Африка	LOC	LOC-Africa
Европарламента	европарламент	ORG	ORG-European-Parlament
Европейската народна партия	Европейска народна партия	ORG	ORG-European-People's-Party
ЕНП	ЕНП	ORG	ORG-EPP
консерватори	консерватори	PER	ORG-Conservative-and-Unionist-Party-UK
АЛДЕ	АЛДЕ	ORG	ORG-ALDE
Найджъл Фараж	Найджъл Фараж	PER	PER-Nigel-Farage
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Фараж	Фараж	PER	PER-Nigel-Farage
Европа на народите и свободата	Европа на народите и свободата	ORG	ORG-Europe-of-Nations-and-Freedom
БТА	БТА	ORG	ORG-Bulgarian-News-Agency
