bg-1773
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
ЕС	ЕС	ORG	ORG-European-Union
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Брекзит	Брекзит	EVT	EVT-Brexit
Ройтерс	Ройтерс	ORG	ORG-Reuters
GlaxoSmithKline	GlaxoSmithKline	ORG	ORG-GlaxoSmithKline
Tescо	Tesco	ORG	ORG-Tesco
Aston Martin	Aston Martin	ORG	ORG-Aston-Martin
BT	BT	ORG	ORG-BT
Balfour Beatty	Balfour Beatty	ORG	ORG-Balfour-Beatty
Великобритания	Великобритания	LOC	GPE-Great-Britain
Brexit	Brexit	EVT	EVT-Brexit
Лондон	Лондон	LOC	GPE-London
