bg-1284
Huffington Post	Huffington Post	PRO	PRO-Huffington-Post
Великобритания	Великобритания	LOC	GPE-Great-Britain
Лондон	Лондон	LOC	GPE-London
ЕС	ЕС	ORG	ORG-European-Union
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Брекзит	Брекзит	EVT	EVT-Brexit
Югоизточна Азия	Югоизточна Азия	LOC	LOC-Southeast-Asia
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Азия	Азия	LOC	LOC-Asia
Брюксел	Брюксел	LOC	GPE-Brussles
Барак Обама	Барак Обама	PER	PER-Barack-Obama
Евросъюза	Евросъюз	ORG	ORG-European-Union
АСЕАН	АСЕАН	ORG	ORG-ASEAN
Китай	Китай	LOC	GPE-China
САЩ	САЩ	LOC	GPE-USA
Индонезия	Индонезия	LOC	GPE-Indonesia
Нарендра Моди	Нарендра Моди	PER	PER-Narendra-Modi
Франция	Франция	LOC	GPE-France
Африка	Африка	LOC	LOC-Africa
Юлиян Марков	Юлиян Марков	PER	PER-Yuliyan-Markov
