bg-1190
Брекзит	Брекзит	EVT	EVT-Brexit
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Брюксел	Брюксел	LOC	GPE-Brussles
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
ЕК	ЕК	ORG	ORG-European-Commission
Съвместния доклад на преговарящите от името на Европейския съюз и правителството на Обединеното кралство относно напредъка през първия етап на преговорите	Съвместен доклад на преговарящите от името на Европейския съюз и правителството на Обединеното кралство относно напредъка през първия етап на преговорите	PRO	PRO-Joint-report-EU-UK-Brexit-2017
Проектът на споразумението за оттегляне	Проект на споразумение за оттегляне	PRO	PRO-Withdrawal-Agreement-Draft
Ирландия	Ирландия	LOC	GPE-Ireland
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Европейския парламент	Европейски парламент	ORG	ORG-European-Parlament
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
