bg-1083
The Daily Express	The Daily Express	PRO	PRO-The-Daily-Express
ЕС	ЕС	ORG	ORG-European-Union
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Лондон	Лондон	LOC	GPE-London
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Великобритания	Великобритания	LOC	GPE-Great-Britain
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Мей	Мей	PER	PER-Theresa-May
Лейбъристка	Лейбъристка	ORG	ORG-Labour-Party-UK
Шотландска национална партия	Шотландска национална партия	ORG	ORG-Scottish-National-Party
Ирландия	Ирландия	LOC	GPE-Ireland
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Лейбъристката партия	Лейбъристка партия	ORG	ORG-Labour-Party-UK
Кир Стармър	Кир Стармър	PER	PER-Keir-Starmer
Саймън Кавъни	Саймън Кавъни	PER	PER-Simon-Coveney
Кавъни	Кавъни	PER	PER-Simon-Coveney
Виктор Турмаков	Виктор Турмаков	PER	PER-Viktor-Turmakov
Reuters	Reuters	ORG	ORG-Reuters
Барние	Барние	PER	PER-Michel-Barnier
ЕК	ЕК	ORG	ORG-European-Commission
