bg-1649
Брекзит	Брекзит	EVT	EVT-Brexit
Филип Хамънд	Филип Хамънд	PER	PER-Philip-Hammond
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Гардиън	Гардиън	PRO	PRO-The-Guardian
Германия	Германия	LOC	GPE-Germany
Берлин	Берлин	LOC	GPE-Berlin
ЕС	ЕС	ORG	ORG-European-Union
еврозоната	Еврозона	LOC	LOC-Eurozone
Ирландия	Ирландия	LOC	GPE-Ireland
Португалия	Португалия	LOC	GPE-Portugal
Гърция	Гърция	LOC	GPE-Greece
Лондонското сити	Лондонско Сити	LOC	LOC-City-of-London
Файненшъл таймс	Файненшъл таймс	PRO	PRO-Financial-Times
Frankfurter Allgemeine	Frankfurter Allgemeine	PRO	PRO-Frankfurter-Allgemeine-Zeitung
Хамънд	Хамънд	PER	PER-Philip-Hammond
Дейвис	Дейвис	PER	PER-David-Davis
Лондон	Лондон	LOC	GPE-London
Великобритания	Великобритания	LOC	GPE-Great-Britain
